"site_id"	"range"	"date"	"time_point"	"row"	"row_set"	"leaf_area_m2"	"leaf_mass"	"stem_mass"	"brown_leaf_mass"	"flower_mass"	"root_mass"	"year"	"above_ground_mass"	"below_ground_mass"	"row_length"	"row_spacing"	"genotype_name"	"doy"	"yield"	"actual_lai"	"leaf_yield"	"leaf_fraction_a"	"specific_leaf_area"
"62"	"EF_check"	"6"	2017-08-10	"e"	"3_4"	"1_6"	1.1494	0.054	0.058	0	0	NA	"2017"	0.512	NA	1	0.762	"ES5150"	222	6.71916010498688	15.0839895013123	0.708661417322835	0.10546875	21.2851851851852
"63"	"EF_check"	"6"	2017-09-27	"f"	"5"	"1_6"	1.186511	0.062	0.246	0.015	0	NA	"2017"	1.108	NA	1.1811	0.762	"ES5150"	270	12.3111357333826	13.1834819225194	0.688890266669422	0.055956678700361	19.1372741935484
"64"	"EF_check"	"7"	2017-07-15	"d"	"1_2"	"1_6"	0.388287	0.01919	0.00765	0	0	NA	"2017"	0.167	NA	1	0.762	"Pacesetter hybrid"	196	2.19160104986877	5.09562992125984	0.251837270341207	0.114910179640719	20.2338196977593
"65"	"EF_check"	"7"	2017-08-10	"e"	"3_4"	"1_6"	0.7951	0.031	0.039	0	0	NA	"2017"	0.503	NA	1	0.762	"Pacesetter hybrid"	222	6.6010498687664	10.4343832020997	0.406824146981627	0.0616302186878728	25.6483870967742
"66"	"EF_check"	"7"	2017-09-27	"f"	"5"	"1_6"	1.438975	0.076	0.311	0.02	0	NA	"2017"	1.606	NA	1.1811	0.762	"Pacesetter hybrid"	270	17.8444801334047	15.9886430883973	0.844446133336711	0.0473225404732254	18.9338815789474
"67"	"EF_check"	"8"	2017-07-15	"d"	"1_2"	"1_6"	0.716498	0.02953	0.02163	0	0	NA	"2017"	0.233	NA	1	0.762	"CHR-SPX"	196	3.05774278215223	9.40286089238845	0.38753280839895	0.126738197424893	24.2633931594988
"68"	"EF_check"	"8"	2017-08-10	"e"	"3_4"	"1_6"	1.1754	0.061	0.102	0	0	NA	"2017"	0.89	NA	1	0.762	"CHR-SPX"	222	11.6797900262467	15.4251968503937	0.800524934383202	0.0685393258426966	19.2688524590164
"69"	"EF_check"	"8"	2017-09-27	"f"	"5"	"1_6"	1.612985	0.092	0.414	0.022	0	NA	"2017"	2.222	NA	1.1811	0.762	"CHR-SPX"	270	24.6889382667654	17.9220913997384	1.02222426667076	0.0414041404140414	17.5324456521739
"70"	"EF_check"	"9"	2017-07-15	"d"	"1_2"	"1_6"	0.627249	0.02362	0.01398	0	0	NA	"2017"	0.148	NA	1	0.762	"Top76-6"	196	1.94225721784777	8.23161417322835	0.30997375328084	0.159594594594595	26.5558425063506
"71"	"EF_check"	"9"	2017-08-10	"e"	"3_4"	"1_6"	1.4696	0.08	0.143	0	0	NA	"2017"	0.784	NA	1	0.762	"Top76-6"	222	10.2887139107612	19.2860892388451	1.0498687664042	0.102040816326531	18.37
"72"	"EF_check"	"9"	2017-09-27	"f"	"5"	"1_6"	1.297762	0.075	0.453	0.015	0.04	NA	"2017"	2.964	NA	1.1811	0.762	"Top76-6"	270	32.9333992001317	14.419606616991	0.833335000003333	0.0253036437246964	17.3034933333333
"73"	"MW_trans_border"	"2"	2017-06-27	"a"	"3"	"1_6"	0.015298	8e-04	4e-04	0	0	NA	"2017"	0.0066	NA	1.5	0.5334	"Pacesetter"	178	0.0824896887889014	0.191201099862517	0.00999875015623047	0.121212121212121	19.1225
"74"	"MW_trans_border"	"2"	2017-07-06	"b"	"5"	"1_6"	0.137692	0.0056	0.0036	0	0	0.0086	"2017"	0.0284	0.0138	1.5	0.5334	"PI291084"	187	0.354955630546182	1.72093488313961	0.0699912510936133	0.197183098591549	24.5878571428571
"75"	"MW_trans_border"	"3"	2017-07-27	"c"	"4"	"1_6"	1.0375	0.0426	0.036	0	0	NA	"2017"	0.317	NA	1.17	0.508	"PI514291"	208	5.33346793189313	17.4557507234673	0.716737330910559	0.134384858044164	24.3544600938967
"76"	"MW_trans_border"	"4"	2017-06-27	"a"	"3"	"1_6"	0.028365	0.0014	6e-04	0	0	6e-04	"2017"	0.0132	0.0056	1.5	0.5334	"PI453036"	178	0.164979377577803	0.354518185226847	0.0174978127734033	0.106060606060606	20.2607142857143
"77"	"MW_trans_border"	"4"	2017-07-06	"b"	"5"	"1_6"	0.293921	0.0104	0.0076	0	0	0.0104	"2017"	0.069	0.0252	1.5	0.5334	"PI660597"	187	0.862392200974878	3.67355330583677	0.129983752030996	0.150724637681159	28.2616346153846
"78"	"MW_trans_border"	"5"	2017-07-27	"c"	"4"	"1_6"	2.2887	0.0874	0.08328	0	0	NA	"2017"	0.396	NA	1.17	0.508	"PI271233"	208	6.6626287098728	38.5069654754694	1.47048926576486	0.220707070707071	26.1864988558352
"79"	"MW_trans_border"	"6"	2017-06-27	"a"	"3"	"1_6"	0.040814	0.002	0.001	0	0	0.0014	"2017"	0.013	0.0064	1.5	0.5334	"PI521181"	178	0.162479690038745	0.510111236095488	0.0249968753905762	0.153846153846154	20.407
"80"	"MW_trans_border"	"6"	2017-07-06	"b"	"5"	"1_6"	0.147441	0.0054	0.0032	0	0	0.0078	"2017"	0.0652	0.0278	1.5	0.5334	"PI330897"	187	0.814898137732783	1.84278215223097	0.0674915635545557	0.0828220858895706	27.3038888888889
"81"	"MW_trans_border"	"7"	2017-07-27	"c"	"4"	"1_6"	2.4137	0.0902	0.1156	0	0	NA	"2017"	0.418	NA	1.17	0.508	"PI148089"	208	7.03277474931018	40.6100679722727	1.51759876169325	0.215789473684211	26.7594235033259
"82"	"MW_trans_border"	"8"	2017-06-27	"a"	"3"	"1_6"	0.024692	0.001	6e-04	0	0	8e-04	"2017"	0.0078	0.0046	1.5	0.5334	"PI453848"	178	0.0974878140232471	0.308611423572054	0.0124984376952881	0.128205128205128	24.692
"83"	"MW_trans_border"	"8"	2017-07-06	"b"	"5"	"1_6"	0.107863	0.0038	0.0026	0	0	0.0044	"2017"	0.041	0.0166	1.5	0.5334	"PI276801"	187	0.512435945506812	1.34811898512686	0.0474940632420947	0.0926829268292683	28.385
"84"	"MW_trans_border"	"9"	2017-07-27	"c"	"4"	"1_6"	1.0589	0.0386	0.0402	0	0	NA	"2017"	0.365	NA	1.17	0.508	"PI330267"	208	6.14105929066559	17.81580187092	0.649438051012854	0.105753424657534	27.4326424870466
